label,seed,step,mean_skill,peak_skill
PEAKED,17,200,0.37544276656046044,0.599241619318919
PEAKED,17,250,0.3912832483709484,0.6066285544798609
PEAKED,17,300,0.4040752973335534,0.6147205454080893
PEAKED,18,0,0.32231326191144355,0.6562603733632087
PEAKED,18,50,0.343638156151805,0.6854912355645044
PEAKED,18,100,0.3644171737970398,0.6808489772537446
PEAKED,18,150,0.38516243629205726,0.6642259344175788
PEAKED,18,200,0.39391621328921017,0.6335089207913325
PEAKED,18,250,0.41010403116335986,0.625287803846388
PEAKED,18,300,0.42072626755920906,0.6222508832690656
PEAKED,19,0,0.3249763480447164,0.7008552090859417
PEAKED,19,50,0.3440218189805396,0.7050411373531502
PEAKED,19,100,0.36218341333851045,0.7110946679075302
PEAKED,19,150,0.38211008857065676,0.6768450462965881
PEAKED,19,200,0.3951709694789805,0.6480267122828691
PEAKED,19,250,0.40324353581468986,0.633183045917254
PEAKED,19,300,0.4120317858990703,0.6292974106197
PEAKED,20,0,0.312481456394902,0.6485433073722234
PEAKED,20,50,0.3249713265151486,0.6671062977773953
PEAKED,20,100,0.3417828972400393,0.65437656878091
PEAKED,20,150,0.35471699431467907,0.6459792640475415
PEAKED,20,200,0.3637543538238307,0.6437871442675315
PEAKED,20,250,0.3743060023160129,0.6498288575631251
PEAKED,20,300,0.3855838218963912,0.6392133012738421
PEAKED,21,0,0.3279098072889164,0.6768226955276415
PEAKED,21,50,0.3424765628315422,0.6676940842583968
PEAKED,21,100,0.35643400579730716,0.6567761602135004
PEAKED,21,150,0.37272282412688534,0.6550629105047716
PEAKED,21,200,0.3881662719124433,0.6634486593323596
PEAKED,21,250,0.40347101808186076,0.6575073167228822
PEAKED,21,300,0.41503852338459096,0.6411042277364344
PEAKED,22,0,0.32331805962526117,0.7256870786314827
PEAKED,22,50,0.3374403088578226,0.7230284337180812
PEAKED,22,100,0.3582882745012854,0.7206190077839879
PEAKED,22,150,0.3747784226246909,0.7056792226765377
PEAKED,22,200,0.39232065615337564,0.6938572314514485
PEAKED,22,250,0.410203774785228,0.6713439363120558
PEAKED,22,300,0.42557730752947937,0.6569649001258481
PEAKED,23,0,0.3228688409064847,0.6705211404720623
PEAKED,23,50,0.33796807967166664,0.6725867729732795
PEAKED,23,100,0.3544304840459694,0.6627671311721351
PEAKED,23,150,0.3625492740924954,0.657773427101377
PEAKED,23,200,0.36821959114613734,0.6315314075535541
PEAKED,23,250,0.3796549813760358,0.6283863545091732
PEAKED,23,300,0.3943830650150688,0.6337516100991238
PEAKED,24,0,0.3191805569565173,0.6575735699705422
PEAKED,24,50,0.34103407316246753,0.6619184227002337
PEAKED,24,100,0.3607440463980154,0.6474514839567633
PEAKED,24,150,0.3794101296185822,0.6285136377459293
PEAKED,24,200,0.38932984353016864,0.6100201818198214
PEAKED,24,250,0.4024553691667037,0.5890510971041556
PEAKED,24,300,0.411517598184717,0.5852578141236239
PEAKED,25,0,0.3207608275005026,0.7115436942873731
PEAKED,25,50,0.3244430434156613,0.7104604062074732
PEAKED,25,100,0.3438398439792677,0.7120183960379083
PEAKED,25,150,0.3609927016667012,0.6877426853925519
PEAKED,25,200,0.3729756492651376,0.6682415473751858
PEAKED,25,250,0.3847871527284625,0.6383444565194277
PEAKED,25,300,0.3946035666114559,0.6184323547745992
PEAKED,26,0,0.32172648183029184,0.6917470582438929
PEAKED,26,50,0.337994312883347,0.6942010718062442
PEAKED,26,100,0.360276268140889,0.7015803252514133
PEAKED,26,150,0.3763412247797552,0.6714030678084113
PEAKED,26,200,0.3940553047156958,0.6613585332824303
PEAKED,26,250,0.40902499221424476,0.6592487026998931
PEAKED,26,300,0.4178821355958241,0.6495674667727438
PEAKED,27,0,0.3248631078805648,0.7281933654469894
PEAKED,27,50,0.33721197987239687,0.7293909921451567
PEAKED,27,100,0.35867888654898283,0.7392720339894714
PEAKED,27,150,0.3812898194501658,0.7236587604189388
PEAKED,27,200,0.4020478582113307,0.7150275945527822
PEAKED,27,250,0.4224173431381255,0.7024739124772801
PEAKED,27,300,0.43709388722010795,0.6945089518421148
PEAKED,28,0,0.31197445507199645,0.6673098637314758
PEAKED,28,50,0.326930553628166,0.6838526855503653
PEAKED,28,100,0.3514464938312094,0.6867858666046115
PEAKED,28,150,0.380982143726854,0.689600166568236
PEAKED,28,200,0.3962253425570894,0.6874218727052468
PEAKED,28,250,0.40673521169080934,0.6761812604098787
PEAKED,28,300,0.4199880823335107,0.6734482372785005
PEAKED,29,0,0.32195303571489037,0.6629659610337061
PEAKED,29,50,0.334849606105062,0.6627260651523896
PEAKED,29,100,0.35362525540124307,0.6605558336903166
PEAKED,29,150,0.3727731224623916,0.6481598353047805
PEAKED,29,200,0.3850859747377313,0.6336129903376626
PEAKED,29,250,0.3951801218815602,0.6439758860681621
PEAKED,29,300,0.4034820503596511,0.6428325909536727
BROAD,0,0,0.3137697069173094,0.48372870060435313
BROAD,0,50,0.31737477643231726,0.4833315852619679
BROAD,0,100,0.32556358170816696,0.48076416189121024
BROAD,0,150,0.33323526632002093,0.46501453579802615
BROAD,0,200,0.33961228770587504,0.48831903585056685
BROAD,0,250,0.3447901106935491,0.4972216196622348
BROAD,0,300,0.3460765195100721,0.49797714090344686
BROAD,1,0,0.3123335985429494,0.48562623369862834
BROAD,1,50,0.31496486752330427,0.4803831623760996
BROAD,1,100,0.32415831666745826,0.4739955034263442
BROAD,1,150,0.33535751736436736,0.46375787870626195
BROAD,1,200,0.34031037762752775,0.4602304193610138
BROAD,1,250,0.34423549948335336,0.46223820666012894
BROAD,1,300,0.3467540817300616,0.4652180986580007
BROAD,2,0,0.3167293323741026,0.48896421193802725
