label,mode,seed,step,fail_rate,attempts,failures
BROAD,no_cull,3,150,0.6871794871794872,195,134
BROAD,no_cull,3,200,0.6636904761904762,336,223
BROAD,no_cull,3,250,0.6372093023255814,645,411
BROAD,no_cull,3,300,0.6161321671525753,1029,634
BROAD,no_cull,4,25,0.7368421052631579,133,98
BROAD,no_cull,4,50,0.6795580110497238,181,123
BROAD,no_cull,4,100,0.6682242990654206,214,143
BROAD,no_cull,4,150,0.6485507246376812,276,179
BROAD,no_cull,4,200,0.6298076923076923,416,262
BROAD,no_cull,4,250,0.5856209150326798,765,448
BROAD,no_cull,4,300,0.5659432387312187,1198,678
BROAD,no_cull,5,25,0.7634408602150538,186,142
BROAD,no_cull,5,50,0.7591973244147158,299,227
BROAD,no_cull,5,100,0.7345971563981043,422,310
BROAD,no_cull,5,150,0.7352517985611511,695,511
BROAD,no_cull,5,200,0.7263875365141188,1027,746
BROAD,no_cull,5,250,0.71985559566787,1385,997
BROAD,no_cull,5,300,0.6950819672131148,1830,1272
BROAD,no_cull,6,25,0.7321428571428571,168,123
BROAD,no_cull,6,50,0.72,275,198
BROAD,no_cull,6,100,0.7051282051282052,390,275
BROAD,no_cull,6,150,0.7005253940455342,571,400
BROAD,no_cull,6,200,0.6829787234042554,940,642
BROAD,no_cull,6,250,0.6656760772659732,1346,896
BROAD,no_cull,6,300,0.6570783981951495,1773,1165
BROAD,no_cull,7,25,0.65625,160,105
BROAD,no_cull,7,50,0.6517857142857143,224,146
BROAD,no_cull,7,100,0.6505190311418685,289,188
BROAD,no_cull,7,150,0.6566265060240963,498,327
BROAD,no_cull,7,200,0.6482525366403608,887,575
BROAD,no_cull,7,250,0.6354933726067746,1358,863
BROAD,no_cull,7,300,0.6350446428571429,1792,1138
BROAD,no_cull,8,25,0.6754966887417219,151,102
BROAD,no_cull,8,50,0.6747572815533981,206,139
BROAD,no_cull,8,100,0.6581818181818182,275,181
BROAD,no_cull,8,150,0.6430446194225722,381,245
BROAD,no_cull,8,200,0.6169154228855721,603,372
BROAD,no_cull,8,250,0.6108786610878661,956,584
BROAD,no_cull,8,300,0.602919708029197,1370,826
BROAD,no_cull,9,25,0.7171717171717171,198,142
BROAD,no_cull,9,50,0.6783625730994152,342,232
BROAD,no_cull,9,100,0.6551724137931034,435,285
BROAD,no_cull,9,150,0.6752136752136753,585,395
BROAD,no_cull,9,200,0.6633221850613155,897,595
BROAD,no_cull,9,250,0.6616428033157498,1327,878
BROAD,no_cull,9,300,0.6538461538461539,1794,1173
BROAD,no_cull,10,25,0.6958762886597938,194,135
BROAD,no_cull,10,50,0.7288629737609329,343,250
BROAD,no_cull,10,100,0.7140287769784173,556,397
BROAD,no_cull,10,150,0.7058823529411765,748,528
BROAD,no_cull,10,200,0.6802480070859167,1129,768
BROAD,no_cull,10,250,0.6802675585284281,1495,1017
BROAD,no_cull,10,300,0.670301142263759,1926,1291
BROAD,no_cull,11,25,0.7160493827160493,162,116
BROAD,no_cull,11,50,0.6926406926406926,231,160
BROAD,no_cull,11,100,0.7083333333333334,312,221
BROAD,no_cull,11,150,0.7011494252873564,435,305
BROAD,no_cull,11,200,0.6613603473227206,691,457
BROAD,no_cull,11,250,0.6415607985480943,1102,707
BROAD,no_cull,11,300,0.630648330058939,1527,963
BROAD,no_cull,12,25,0.711340206185567,194,138
BROAD,no_cull,12,50,0.7084745762711865,295,209
BROAD,no_cull,12,100,0.6947115384615384,416,289
BROAD,no_cull,12,150,0.6928702010968921,547,379
BROAD,no_cull,12,200,0.6824966078697422,737,503
BROAD,no_cull,12,250,0.6396724294813467,1099,703
BROAD,no_cull,12,300,0.607645875251509,1491,906
BROAD,no_cull,13,25,0.7085714285714285,175,124
BROAD,no_cull,13,50,0.6909090909090909,275,190
BROAD,no_cull,13,100,0.672289156626506,415,279
BROAD,no_cull,13,150,0.6866197183098591,568,390
BROAD,no_cull,13,200,0.6636363636363637,880,584
BROAD,no_cull,13,250,0.6414653156664069,1283,823
BROAD,no_cull,13,300,0.6274285714285714,1750,1098
BROAD,no_cull,14,25,0.7058823529411765,170,120
BROAD,no_cull,14,50,0.7098039215686275,255,181
BROAD,no_cull,14,100,0.6850393700787402,381,261
BROAD,no_cull,14,150,0.6786885245901639,610,414
BROAD,no_cull,14,200,0.6531850353892821,989,646
BROAD,no_cull,14,250,0.628987517337032,1442,907
BROAD,no_cull,14,300,0.6306638566912539,1898,1197
