param,level,label,seed,fail_rate,gini,mean_reputation
beta,2.0,BROAD,2,0.6457905544147844,0.04320536258379026,12.698584968687436
beta,2.0,BROAD,3,0.6353276353276354,0.0345300950369587,15.123758150440164
beta,2.0,BROAD,4,0.631762652705061,0.06986951364175553,13.812693205475806
beta,2.0,BROAD,5,0.6620294599018003,0.06560056858564312,11.221598146876222
beta,2.0,BROAD,6,0.6330708661417322,0.05634379263301481,11.674581064072338
beta,2.0,BROAD,7,0.6146788990825688,0.06958290946083401,15.39950987023162
beta,2.0,FLAT,0,0.72562893081761,0.0347222222222221,4.51562824389276
beta,2.0,FLAT,1,0.7193053311793215,0.03674775928297036,5.391377689113605
beta,2.0,FLAT,2,0.7127139364303179,0.0359661495063468,4.898379979055092
beta,2.0,FLAT,3,0.7034564021995287,0.06975036710719529,4.286320205933065
beta,2.0,FLAT,4,0.7300275482093664,0.05947521865889205,4.810207202036263
beta,2.0,FLAT,5,0.7230586370839936,0.043589743589743435,4.793538557563263
beta,2.0,FLAT,6,0.7213724679619677,0.05994694960212188,5.166396082545401
beta,2.0,FLAT,7,0.7145180967873119,0.06271186440677967,4.795980252320607
beta,3.0,PEAKED,0,0.5934579439252337,0.06630934150076562,16.38424881901965
beta,3.0,PEAKED,1,0.6145038167938931,0.05792736935340992,18.50795174392139
beta,3.0,PEAKED,2,0.628,0.05267986479961362,16.979007267831584
beta,3.0,PEAKED,3,0.6130653266331658,0.07409274193548376,16.51440276581258
beta,3.0,PEAKED,4,0.5927272727272728,0.07203267659778945,17.23705783089401
beta,3.0,PEAKED,5,0.6844262295081968,0.06873315363881383,17.74840615178339
beta,3.0,PEAKED,6,0.6352459016393442,0.05936883629191314,16.819009375123464
beta,3.0,PEAKED,7,0.6608996539792388,0.07735498839907184,17.5699953658446
beta,3.0,BROAD,0,0.6871227364185111,0.06510144927536232,14.003119376899432
beta,3.0,BROAD,1,0.6644549763033175,0.06580766813324934,12.942082724477846
beta,3.0,BROAD,2,0.6526479750778816,0.054922538730634685,16.400111573781313
beta,3.0,BROAD,3,0.6752136752136753,0.05933232169954472,15.961357680013773
beta,3.0,BROAD,4,0.6346456692913386,0.06733780760626384,14.623430212046872
beta,3.0,BROAD,5,0.6610526315789473,0.05195599022004882,13.18460141202087
beta,3.0,BROAD,6,0.6146881287726358,0.06609625668449182,14.802838648476202
beta,3.0,BROAD,7,0.6548672566371682,0.05740072202166058,15.862996376279346
beta,3.0,FLAT,0,0.7153692614770459,0.035567010309278224,5.164744821341388
beta,3.0,FLAT,1,0.6906812842599843,0.0672937771345874,4.342578663859481
beta,3.0,FLAT,2,0.7204472843450479,0.04974093264248691,4.9205793415744745
beta,3.0,FLAT,3,0.7189465408805031,0.041768707482993106,4.78059178487047
beta,3.0,FLAT,4,0.7102952913008779,0.04925373134328348,4.610382293909736
beta,3.0,FLAT,5,0.726232741617357,0.04791366906474814,4.675937682011539
beta,3.0,FLAT,6,0.7145141943222711,0.07313432835820888,5.248338821476225
beta,3.0,FLAT,7,0.7083503054989817,0.07433035714285707,6.401799951363809
beta,4.5,PEAKED,0,0.6285714285714286,0.09336492890995252,19.211988064876685
beta,4.5,PEAKED,1,0.62,0.08046658758402514,20.88316226555164
beta,4.5,PEAKED,2,0.6288659793814433,0.04551083591331251,21.0949863749221
beta,4.5,PEAKED,3,0.5489130434782609,0.05828170177612546,20.07454422098866
beta,4.5,PEAKED,4,0.6147540983606558,0.0816888888888887,18.767472915167676
beta,4.5,PEAKED,5,0.5972222222222222,0.04566363200766643,17.484328449611994
beta,4.5,PEAKED,6,0.6130434782608696,0.05455291222313363,20.08964941882112
beta,4.5,PEAKED,7,0.5888157894736842,0.05400265369305601,18.48156559493313
beta,4.5,BROAD,0,0.6609360076408787,0.05353339787028055,16.101357914348693
beta,4.5,BROAD,1,0.6827309236947792,0.07271639409652964,19.857497776784733
beta,4.5,BROAD,2,0.6195652173913043,0.04463323663489427,19.136828060252117
beta,4.5,BROAD,3,0.6128133704735376,0.08637274549098195,20.27855806428086
beta,4.5,BROAD,4,0.6621923937360179,0.07688723205964587,17.78348189913826
beta,4.5,BROAD,5,0.6550802139037433,0.04713707345286289,13.30611251994857
beta,4.5,BROAD,6,0.6338709677419355,0.040542832909244986,18.946127638961762
beta,4.5,BROAD,7,0.6223021582733813,0.044820717131474064,16.36736273801014
beta,4.5,FLAT,0,0.7170671085335543,0.06371986222732473,6.329001377612062
beta,4.5,FLAT,1,0.7311657414750198,0.03342657342657329,4.7510897806395125
beta,4.5,FLAT,2,0.7121815286624203,0.04425363276089822,4.945474397404083
beta,4.5,FLAT,3,0.6899128268991283,0.05969498910675375,6.4972858839550875
beta,4.5,FLAT,4,0.7061175529788085,0.03922018348623846,5.922186103174909
beta,4.5,FLAT,5,0.694647201946472,0.058636897767332385,5.762559922870207
beta,4.5,FLAT,6,0.7083508182962652,0.05598631698973766,6.465727977497056
beta,4.5,FLAT,7,0.7181020733652312,0.043699731903485084,4.966804118611235
beta,6.0,PEAKED,0,0.6720430107526881,0.05509025270758117,22.689919792318168
beta,6.0,PEAKED,1,0.5795454545454546,0.07942250248921323,24.06333477902001
beta,6.0,PEAKED,2,0.6194331983805668,0.041238195173137315,23.321115570876923
beta,6.0,PEAKED,3,0.544973544973545,0.04241552839683682,22.615424873759938
beta,6.0,PEAKED,4,0.6694915254237288,0.04385569334836514,22.22387976191802
beta,6.0,PEAKED,5,0.5518867924528302,0.042051282051281946,22.883411141195314
beta,6.0,PEAKED,6,0.6523809523809524,0.04732909973851318,22.014810475165635
beta,6.0,PEAKED,7,0.6304347826086957,0.06529269137512972,23.832862487955346
beta,6.0,BROAD,0,0.6680384087791496,0.0466459868165956,20.488817592179913
beta,6.0,BROAD,1,0.6776798825256976,0.05482897384305829,15.688880936040613
beta,6.0,BROAD,2,0.6771378708551483,0.06862453531598511,20.98686159200479
beta,6.0,BROAD,3,0.633177570093458,0.061286214581343534,24.376177933489267
beta,6.0,BROAD,4,0.643312101910828,0.051832907075873846,19.45398445507619
beta,6.0,BROAD,5,0.6566390041493776,0.07628865979381438,18.681579290943834
beta,6.0,BROAD,6,0.6678832116788321,0.053330674112485044,20.569820182965838
beta,6.0,BROAD,7,0.6417445482866043,0.04238488783943328,20.6538841023436
beta,6.0,FLAT,0,0.7246259603720178,0.040224719101123574,6.032482199553953
beta,6.0,FLAT,1,0.7225409836065574,0.0543700340522133,6.4430751140564215
beta,6.0,FLAT,2,0.7114178168130489,0.03402275077559458,7.035053471410431
beta,6.0,FLAT,3,0.7236734693877551,0.05757575757575739,6.498100449466121
beta,6.0,FLAT,4,0.7152209492635024,0.032928064842958404,7.120721584894557
beta,6.0,FLAT,5,0.7278778386844166,0.06622340425531914,5.14477634356314
beta,6.0,FLAT,6,0.6984469370146679,0.06027996500437438,8.916097367369854
beta,6.0,FLAT,7,0.7100806451612903,0.043127962085308,5.809938614793264
